lat,lon,eventDate,maximumDepthInMeters,depth,scientificName,basisOfRecord,depth_m,eventDate_parsed
-0.52,54.93,1963-03-19/1964-09-21,4599.0,4599.0,Flaccisagitta enflata,HumanObservation,4599.0,
-0.05,76.93,1963-03-19/1964-09-21,4627.0,4627.0,Flaccisagitta enflata,HumanObservation,4627.0,
-12.5,110.0,1962/1965,5221.0,5221.0,Flaccisagitta enflata,HumanObservation,5221.0,
23.13,60.53,1963-03-19/1964-09-21,3330.0,3330.0,Flaccisagitta enflata,HumanObservation,3330.0,
17.12,84.55,1959/1965,2779.0,2779.0,Flaccisagitta enflata,HumanObservation,2779.0,
2.52,55.07,1963-03-19/1964-09-21,4861.0,4861.0,Flaccisagitta enflata,HumanObservation,4861.0,
-15.5,110.0,1962/1965,5577.0,5577.0,Flaccisagitta enflata,HumanObservation,5577.0,
-23.0,110.0,1962/1965,4755.0,4755.0,Flaccisagitta enflata,HumanObservation,4755.0,
-19.73,75.33,1963-03-19/1964-09-21,4740.0,4740.0,Flaccisagitta enflata,HumanObservation,4740.0,
7.45,94.35,1959/1965,2048.0,2048.0,Flaccisagitta enflata,HumanObservation,2048.0,
5.03,55.02,1963-03-19/1964-09-21,4959.0,4959.0,Flaccisagitta enflata,HumanObservation,4959.0,
-21.67,67.1,1963-03-19/1964-09-21,3200.0,3200.0,Flaccisagitta enflata,HumanObservation,3200.0,
-24.32,35.77,1963-03-19/1964-09-21,920.0,920.0,Flaccisagitta enflata,HumanObservation,920.0,
23.55,65.83,1963-03-19/1964-09-21,2255.0,2255.0,Flaccisagitta enflata,HumanObservation,2255.0,
-21.5,110.0,1962/1965,4984.0,4984.0,Flaccisagitta enflata,HumanObservation,4984.0,
-17.3,79.87,1963-03-19/1964-09-21,4956.0,4956.0,Flaccisagitta enflata,HumanObservation,4956.0,
-0.03,84.93,1963-03-19/1964-09-21,4416.0,4416.0,Flaccisagitta enflata,HumanObservation,4416.0,
-0.02,74.98,1963-03-19/1964-09-21,4261.0,4261.0,Flaccisagitta enflata,HumanObservation,4261.0,
9.77,70.1,1959/1965,4500.0,4500.0,Flaccisagitta enflata,HumanObservation,4500.0,
2.58,88.97,1962/1965,3383.0,3383.0,Flaccisagitta enflata,HumanObservation,3383.0,
-11.47,80.0,1963-03-19/1964-09-21,3338.0,3338.0,Flaccisagitta enflata,HumanObservation,3338.0,
15.6496,71.4442,2006-11-29/2006-12-20,,,Flaccisagitta enflata,HumanObservation,,2006-11-29 20:06:00-20:00
14.25,91.83,1959/1965,2754.0,2754.0,Flaccisagitta enflata,HumanObservation,2754.0,
14.7,96.78,1959/1965,,,Flaccisagitta enflata,HumanObservation,,
-26.0,110.0,1962/1965,3877.0,3877.0,Flaccisagitta enflata,HumanObservation,3877.0,
-3.57,40.88,1963-03-19/1964-09-21,1870.0,1870.0,Flaccisagitta enflata,HumanObservation,1870.0,
20.03,62.0,1963-03-19/1964-09-21,3475.0,3475.0,Flaccisagitta enflata,HumanObservation,3475.0,
-30.5,110.0,1962/1965,5394.0,5394.0,Flaccisagitta enflata,HumanObservation,5394.0,
12.68,48.0,1959/1965,2000.0,2000.0,Flaccisagitta enflata,HumanObservation,2000.0,
-33.5,110.03,1962/1965,2743.0,2743.0,Flaccisagitta enflata,HumanObservation,2743.0,
-13.25,69.85,1963-03-19/1964-09-21,3745.0,3745.0,Flaccisagitta enflata,HumanObservation,3745.0,
-27.63,33.4,1963-03-19/1964-09-21,1379.0,1379.0,Flaccisagitta enflata,HumanObservation,1379.0,
8.5,79.0,1881-07-02T12:00:00Z,,,Flaccisagitta enflata,HumanObservation,,1881-07-02 12:00:00+00:00
-8.92,105.0,1962/1965,5852.0,5852.0,Flaccisagitta enflata,HumanObservation,5852.0,
-28.58,32.67,1963-03-19/1964-09-21,997.0,997.0,Flaccisagitta enflata,HumanObservation,997.0,
-4.02,89.0,1962/1965,2571.0,2571.0,Flaccisagitta enflata,HumanObservation,2571.0,
16.6,64.0,1959/1965,3700.0,3700.0,Flaccisagitta enflata,HumanObservation,3700.0,
18.53,64.65,1963-03-19/1964-09-21,3365.0,3365.0,Flaccisagitta enflata,HumanObservation,3365.0,
-15.25,105.08,1962/1965,6035.0,6035.0,Flaccisagitta enflata,HumanObservation,6035.0,
-24.0,105.0,1962/1965,4938.0,4938.0,Flaccisagitta enflata,HumanObservation,4938.0,
-14.73,79.73,1963-03-19/1964-09-21,5303.0,5303.0,Flaccisagitta enflata,HumanObservation,5303.0,
18.18,88.07,1959/1965,2240.0,2240.0,Flaccisagitta enflata,HumanObservation,2240.0,
-24.7,35.38,1963-03-19/1964-09-21,190.0,190.0,Flaccisagitta enflata,HumanObservation,190.0,
-8.92,105.0,1962/1965,6126.0,6126.0,Flaccisagitta enflata,HumanObservation,6126.0,
0.03,66.93,1963-03-19/1964-09-21,2609.0,2609.0,Flaccisagitta enflata,HumanObservation,2609.0,
11.93,60.88,1963-03-19/1964-09-21,4355.0,4355.0,Flaccisagitta enflata,HumanObservation,4355.0,
-19.28,65.5,1963-03-19/1964-09-21,2490.0,2490.0,Flaccisagitta enflata,HumanObservation,2490.0,
3.03,89.02,1962/1965,3574.0,3574.0,Flaccisagitta enflata,HumanObservation,3574.0,
-22.5,36.12,1963-03-19/1964-09-21,975.0,975.0,Flaccisagitta enflata,HumanObservation,975.0,
-21.97,74.92,1963-03-19/1964-09-21,4243.0,4243.0,Flaccisagitta enflata,HumanObservation,4243.0,
1.05,54.77,1963-03-19/1964-09-21,4705.0,4705.0,Flaccisagitta enflata,HumanObservation,4705.0,
-24.88,39.3,1963-03-19/1964-09-21,3603.0,3603.0,Flaccisagitta enflata,HumanObservation,3603.0,
11.38,93.52,1959/1965,70.0,70.0,Flaccisagitta enflata,HumanObservation,70.0,
1.07,75.12,1963-03-19/1964-09-21,3076.0,3076.0,Flaccisagitta enflata,HumanObservation,3076.0,
-20.0,110.0,1962/1965,4400.0,4400.0,Flaccisagitta enflata,HumanObservation,4400.0,
